id,bbox,end_date,format,geometry,height,internal_time,ip,layers,mean_gsd,render_time,request,start_date,styles,total_time,url,user_name,width
11,"57.42004283636647,31.8169796396528,57.442541036510455,31.839477839796785",2014-03-26 13:10:14.262-04,image/png,01030000000100000005000000798EB2F6C3B54C4080CEE19325D13F40798EB2F6C3B54C40D8A40B05E8D63F40A579472FA5B84C40D8A40B05E8D63F40A579472FA5B84C4080CEE19325D13F40798EB2F6C3B54C4080CEE19325D13F40,190,0.008,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.001,GetMap,2014-03-26 13:10:14.253-04,,0.009,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=57.42004283636647%2C31.8169796396528%2C57.442541036510455%2C31.839477839796785&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
12,"48.787812931389766,61.357167762881154,48.81031113153375,61.37966596302514",2014-03-26 18:52:13.145-04,image/png,01030000000100000005000000ACD7DB0DD764484049615AACB7AD4E40ACD7DB0DD7644840754CEFE498B04E40D8C27046B8674840754CEFE498B04E40D8C27046B867484049615AACB7AD4E40ACD7DB0DD764484049615AACB7AD4E40,190,0.041,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.004,GetMap,2014-03-26 18:52:13.094-04,,0.045,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=48.787812931389766%2C61.357167762881154%2C48.81031113153375%2C61.37966596302514&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
13,"-104.71649475163,24.677139185046,-58.194954648365,47.398752314954",2014-03-27 08:33:07.38-04,image/jpeg,010300000001000000050000006A80CD0CDB2D5AC0D79C5EFE58AD38406A80CD0CDB2D5AC043F7DB500AB3474026771F46F4184DC043F7DB500AB3474026771F46F4184DC0D79C5EFE58AD38406A80CD0CDB2D5AC0D79C5EFE58AD3840,590,6.129,207.106.237.97,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,4287.0481417339,0.012,GetMap,2014-03-27 08:33:01.233-04,,6.141,http://omar.ossim.org/omar/ogc/wms?BBOX=-104.71649475163%2C24.677139185046%2C-58.194954648365%2C47.398752314954&STRETCH_MODE_REGION=viewport&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=590&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=1208&BANDS=default&TRANSPARENT=FALSE&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,anonymousUser,1208
14,"-104.71649475163,24.677139185046,-58.194954648365,47.398752314954",2014-03-27 08:33:15.247-04,image/jpeg,010300000001000000050000006A80CD0CDB2D5AC0D79C5EFE58AD38406A80CD0CDB2D5AC043F7DB500AB3474026771F46F4184DC043F7DB500AB3474026771F46F4184DC0D79C5EFE58AD38406A80CD0CDB2D5AC0D79C5EFE58AD3840,590,0.272,207.106.237.97,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,4287.0481417339,0.015,GetMap,2014-03-27 08:33:14.959-04,,0.287,http://omar.ossim.org/omar/ogc/wms?BBOX=-104.71649475163%2C24.677139185046%2C-58.194954648365%2C47.398752314954&STRETCH_MODE_REGION=global&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=590&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=1208&BANDS=default&TRANSPARENT=FALSE&QUICKLOOK=false&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,anonymousUser,1208
15,"-121.31017513608,11.723527969433,-45.000966831702,62.219896255417",2014-03-29 15:44:50.438-04,image/jpeg,01030000000100000005000000BE5FD0E8D9535EC07CE90C4272722740BE5FD0E8D9535EC0B2C37C8F251C4F403A455FAE1F8046C0B2C37C8F251C4F403A455FAE1F8046C07CE90C4272722740BE5FD0E8D9535EC07CE90C4272722740,626,1.941,69.254.31.191,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,8979.60064617465,0.011,GetMap,2014-03-29 15:44:48.483-04,,1.952,http://omar.ossim.org/omar/ogc/wms?BBOX=-121.31017513608%2C11.723527969433%2C-45.000966831702%2C62.219896255417&STRETCH_MODE_REGION=viewport&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=626&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=946&BANDS=default&TRANSPARENT=FALSE&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,dburken,946
16,"-121.31017513608,11.723527969433,-45.000966831702,62.219896255417",2014-03-29 15:45:02.166-04,image/jpeg,01030000000100000005000000BE5FD0E8D9535EC07CE90C4272722740BE5FD0E8D9535EC0B2C37C8F251C4F403A455FAE1F8046C0B2C37C8F251C4F403A455FAE1F8046C07CE90C4272722740BE5FD0E8D9535EC07CE90C4272722740,626,0.095,69.254.31.191,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,8979.60064617465,0.01,GetMap,2014-03-29 15:45:02.059-04,,0.105,http://omar.ossim.org/omar/ogc/wms?BBOX=-121.31017513608%2C11.723527969433%2C-45.000966831702%2C62.219896255417&STRETCH_MODE_REGION=viewport&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=626&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=946&BANDS=default&TRANSPARENT=FALSE&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,dburken,946
17,"-121.31017513608,11.723527969433,-45.000966831702,62.219896255417",2014-03-29 15:45:06.573-04,image/jpeg,01030000000100000005000000BE5FD0E8D9535EC07CE90C4272722740BE5FD0E8D9535EC0B2C37C8F251C4F403A455FAE1F8046C0B2C37C8F251C4F403A455FAE1F8046C07CE90C4272722740BE5FD0E8D9535EC07CE90C4272722740,626,0.51,69.254.31.191,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,8979.60064617465,0.011,GetMap,2014-03-29 15:45:06.049-04,,0.521,http://omar.ossim.org/omar/ogc/wms?BBOX=-121.31017513608%2C11.723527969433%2C-45.000966831702%2C62.219896255417&STRETCH_MODE_REGION=global&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=626&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=946&BANDS=default&TRANSPARENT=FALSE&QUICKLOOK=false&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,dburken,946
18,"-129.65901557953,14.466142221388,-36.652126388252,59.477282003462",2014-03-30 19:07:50.607-04,image/jpeg,010300000001000000050000005934D7A7163560C0E24A7831AAEE2C405934D7A7163560C059EBA19317BD4D405233A3E0785342C059EBA19317BD4D405233A3E0785342C0E24A7831AAEE2C405934D7A7163560C0E24A7831AAEE2C40,558,0.678,68.100.34.82,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,8979.60064617459,0.01,GetMap,2014-03-30 19:07:49.917-04,,0.688,http://omar.ossim.org/omar/ogc/wms?BBOX=-129.65901557953%2C14.466142221388%2C-36.652126388252%2C59.477282003462&STRETCH_MODE_REGION=viewport&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=558&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=1153&BANDS=default&TRANSPARENT=FALSE&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,anonymousUser,1153
19,"-105.35728279642,26.227084886587,-60.953859171361,47.716339338263",2014-03-30 19:07:58.777-04,image/jpeg,010300000001000000050000000783A9B8DD565AC09A4E313C223A3A400783A9B8DD565AC0C456E701B1DB47401AFEAC0E187A4EC0C456E701B1DB47401AFEAC0E187A4EC09A4E313C223A3A400783A9B8DD565AC09A4E313C223A3A40,558,3.646,68.100.34.82,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,4287.0481417342,0.01,GetMap,2014-03-30 19:07:55.12-04,,3.656,http://omar.ossim.org/omar/ogc/wms?BBOX=-105.35728279642%2C26.227084886587%2C-60.953859171361%2C47.716339338263&STRETCH_MODE_REGION=viewport&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=558&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=1153&BANDS=default&TRANSPARENT=FALSE&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,anonymousUser,1153
20,"-105.35728279642,26.227084886587,-60.953859171361,47.716339338263",2014-03-30 19:07:59.329-04,image/jpeg,010300000001000000050000000783A9B8DD565AC09A4E313C223A3A400783A9B8DD565AC0C456E701B1DB47401AFEAC0E187A4EC0C456E701B1DB47401AFEAC0E187A4EC09A4E313C223A3A400783A9B8DD565AC09A4E313C223A3A40,558,0.23,68.100.34.82,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,4287.0481417342,0.011,GetMap,2014-03-30 19:07:59.088-04,,0.241,http://omar.ossim.org/omar/ogc/wms?BBOX=-105.35728279642%2C26.227084886587%2C-60.953859171361%2C47.716339338263&STRETCH_MODE_REGION=viewport&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=558&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=1153&BANDS=default&TRANSPARENT=FALSE&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,anonymousUser,1153
